,alias,name,url,categories,latitude,longitude,address,zip_code,price,rating,review_count
1268,l-ami-louis-paris,L'Ami Louis,https://www.yelp.com/biz/l-ami-louis-paris,french,48.86695,2.35826,32 rue du Vertbois,75003,4,3.5,99.0
1272,ob-la-di-paris,Ob-la-Di,https://www.yelp.com/biz/ob-la-di-paris,"breakfast_brunch, coffee",48.86301,2.36403,54 rue de Saintonge,75003,2,4.5,96.0
1273,season-paris-3,Season,https://www.yelp.com/biz/season-paris-3,"breakfast_brunch, vegetarian, tradamerican",48.86518,2.36283,1 rue Charles François Dupuis,75003,2,3.5,95.0
1274,l-imprévu-café-paris-2,L'imprévu Café,https://www.yelp.com/biz/l-impr%C3%A9vu-caf%C3%A9-paris-2,"beerbar, cocktailbars, tapasmallplates",48.8595013,2.3496597,9 rue Quincampoix,75004,2,4.0,95.0
1275,wild-et-the-moon-paris,Wild & The Moon,https://www.yelp.com/biz/wild-et-the-moon-paris,"juicebars, gluten_free",48.864261,2.363068,55 rue Charlot,75003,2,4.0,95.0
1276,dong-huong-paris-2,Dong Huong,https://www.yelp.com/biz/dong-huong-paris-2,vietnamese,48.871223,2.3768937055812,14 rue Louis Bonnet,75011,2,3.5,95.0
1279,la-chambre-aux-oiseaux-paris,La Chambre aux Oiseaux,https://www.yelp.com/biz/la-chambre-aux-oiseaux-paris,"breakfast_brunch, desserts",48.873898445596,2.3645184530671,48 rue Bichat,75010,2,4.0,94.0
1280,la-briciola-paris,La Briciola,https://www.yelp.com/biz/la-briciola-paris,"pizza, italian",48.864,2.3639899,14 rue Normandie,75003,2,4.0,93.0
1281,le-perchoir-paris,Le Perchoir,https://www.yelp.com/biz/le-perchoir-paris,"french, cocktailbars",48.86529,2.38249,14 rue Crespin Dugast,75011,2,3.5,93.0
1282,paperboy-paris,Paperboy,https://www.yelp.com/biz/paperboy-paris,"breakfast_brunch, burgers, tradamerican",48.8647599,2.3665,139 rue Amelot,75011,2,4.0,93.0
1283,deux-fois-plus-de-piment-paris,Deux Fois Plus de Piment,https://www.yelp.com/biz/deux-fois-plus-de-piment-paris,chinese,48.861568,2.370637,33 rue Saint-Sébastien,75011,2,4.0,93.0
1284,ossek-garden-paris,Ossek Garden,https://www.yelp.com/biz/ossek-garden-paris,korean,48.86646,2.36816,14 rue Rampon,75011,2,4.0,92.0
1285,bouillon-julien-paris,Bouillon Julien,https://www.yelp.com/biz/bouillon-julien-paris,french,48.871423,2.353168,16 rue du Faubourg Saint-Denis,75010,3,3.5,91.0
1286,grazie-paris,Grazie,https://www.yelp.com/biz/grazie-paris,"pizza, cocktailbars",48.859374,2.367279,91 boulevard Beaumarchais,75003,3,3.5,91.0
1288,pramil-paris,Pramil,https://www.yelp.com/biz/pramil-paris,french,48.86683,2.35867,9 rue Vertbois,75003,3,4.0,90.0
1290,marcel-paris-9,Marcel,https://www.yelp.com/biz/marcel-paris-9,"indpak, cafes",48.87276,2.36453,90 quai de Jemmapes,75010,2,3.5,89.0
1293,andy-wahloo-paris,Andy Wahloo,https://www.yelp.com/biz/andy-wahloo-paris,"bars, french",48.8644931554975,2.35410221816429,69 rue des Gravilliers,75003,3,3.0,87.0
1294,inaro-paris-10,Inaro,https://www.yelp.com/biz/inaro-paris-10,"wine_bars, tapasmallplates, breakfast_brunch",48.868423,2.361196,38 rue René Boulanger,75010,2,4.5,86.0
1297,the-beast-paris,The Beast,https://www.yelp.com/biz/the-beast-paris,"tradamerican, bbq",48.86773,2.35969,27 rue Meslay,75003,3,4.0,86.0
1298,le-baratin-paris,Le Baratin,https://www.yelp.com/biz/le-baratin-paris,french,48.87323,2.38265,3 rue Jouye Rouve,75020,3,4.0,85.0
1300,sun-cafe-paris-4,SUN CAFE,https://www.yelp.com/biz/sun-cafe-paris-4,"japanese, sushi, bars",48.8595948,2.3490477,14 boulevard de sébastopol,75004,3,4.0,82.0
1301,dame-tartine-paris,Dame Tartine,https://www.yelp.com/biz/dame-tartine-paris,french,48.85946,2.35173,2 Rue Brisemiche,75004,2,3.5,81.0
1302,da-mimmo-paris,Da Mimmo,https://www.yelp.com/biz/da-mimmo-paris,"italian, pizza",48.87217,2.35968,39 bd de Magenta,75010,3,3.5,81.0
1305,la-caravane-paris,La Caravane,https://www.yelp.com/biz/la-caravane-paris,"bars, brasseries",48.86833,2.37139,35 rue de la Fontaine au Roi,75011,2,4.0,80.0
1306,la-place-verte-paris-2,La Place Verte,https://www.yelp.com/biz/la-place-verte-paris-2,"french, bars, italian",48.86587,2.37745,105 rue Oberkampf,75011,2,3.0,80.0
1307,caves-saint-gilles-paris,Caves Saint Gilles,https://www.yelp.com/biz/caves-saint-gilles-paris,"spanish, tapas",48.858684,2.367085,4 rue St Gilles,75003,3,3.5,80.0
1308,l-osteria-dell-anima-paris-11,L'Osteria dell'Anima,https://www.yelp.com/biz/l-osteria-dell-anima-paris-11,italian,48.86399,2.37045,37 rue Oberkampf,75011,2,4.5,79.0
1311,monjul-paris,Monjul,https://www.yelp.com/biz/monjul-paris,french,48.859518,2.355907,28 clos des Blancs Manteaux,75004,3,4.0,79.0
1312,flams-paris-5,Flam's,https://www.yelp.com/biz/flams-paris-5,alsatian,48.85981,2.34763,62 rue des Lombards,75001,2,3.0,79.0
1313,la-patache-paris,La Patache,https://www.yelp.com/biz/la-patache-paris,french,48.872664,2.363525,60 rue de Lancry,75010,2,4.0,78.0
1314,le-bichat-paris-2,Le Bichat,https://www.yelp.com/biz/le-bichat-paris-2,"cafes, breakfast_brunch",48.8697,2.36916,11 rue Bichat,75010,2,4.5,78.0
1315,blend-paris-27,Blend,https://www.yelp.com/biz/blend-paris-27,burgers,48.86112,2.36695,1 boulevard des Filles du Calvaire,75003,2,4.0,78.0
1316,assanabel-paris-3,Assanabel,https://www.yelp.com/biz/assanabel-paris-3,lebanese,48.87052,2.36042,6 rue Pierre Chausson,75010,2,4.5,77.0
